"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 19:26:34 BDT 2024","Mon Jun 10 19:26:38 BDT 2024","4072","chromium","main.spec.js","TaskStation Automation-Edit Task","","","Complete To Blocker",""
"passed","Mon Jun 10 19:26:29 BDT 2024","Mon Jun 10 19:26:34 BDT 2024","4826","chromium","main.spec.js","TaskStation Automation-Edit Task","","","Todo to Complete",""
"passed","Mon Jun 10 19:26:47 BDT 2024","Mon Jun 10 19:26:49 BDT 2024","2049","chromium","main.spec.js","TaskStation Automation-Report","","","testTaskAvailabilityByName",""
"passed","Mon Jun 10 19:26:38 BDT 2024","Mon Jun 10 19:26:42 BDT 2024","4500","chromium","main.spec.js","TaskStation Automation-Edit Task","","","Blocker To Todo",""
"passed","Mon Jun 10 19:26:56 BDT 2024","Mon Jun 10 19:27:00 BDT 2024","3383","chromium","main.spec.js","TaskStation Automation-Report","","","testTotalTimeEqualityBetweenWebViewAndCSV",""
"passed","Mon Jun 10 19:26:17 BDT 2024","Mon Jun 10 19:26:29 BDT 2024","11464","chromium","main.spec.js","TaskStation Automation-Edit Task","","","Task Edit",""
"passed","Mon Jun 10 19:26:42 BDT 2024","Mon Jun 10 19:26:47 BDT 2024","4358","chromium","main.spec.js","TaskStation Automation-Report","","","testDatePickerDisplaysCorrectDates",""
"passed","Mon Jun 10 19:25:45 BDT 2024","Mon Jun 10 19:25:51 BDT 2024","6396","setup","auth.setup.js","","","","authenticate",""
"passed","Mon Jun 10 19:26:49 BDT 2024","Mon Jun 10 19:26:51 BDT 2024","2152","chromium","main.spec.js","TaskStation Automation-Report","","","testFileDownload",""
"failed","Mon Jun 10 19:26:51 BDT 2024","Mon Jun 10 19:26:56 BDT 2024","5147","chromium","main.spec.js","TaskStation Automation-Report","","","testAutoDataUpdateAndDownloadButton",""
"passed","Mon Jun 10 19:25:52 BDT 2024","Mon Jun 10 19:26:17 BDT 2024","25240","chromium","main.spec.js","TaskStation Automation-Create Task","","","CreateTask",""
"passed","Mon Jun 10 19:27:03 BDT 2024","Mon Jun 10 19:27:09 BDT 2024","6489","chromium","main.spec.js","TaskStation Automation-Report","","","testTestDetailsEquality",""
"passed","Mon Jun 10 19:27:00 BDT 2024","Mon Jun 10 19:27:03 BDT 2024","2666","chromium","main.spec.js","TaskStation Automation-Report","","","testReportTableStructureBetweenWeb&CSV",""
